        Cr ,       Ni,     Mn ,       N ,Cu,Si,W,Ti,Mo,C, Yield Strength (Mpa),UTS (Mpa),   %  Elongation ,nickel equivalent,Cr equivalent,Austenite
25,20,0,0,0,2.5,0,0,0,0.25,344.76,689.47,45,27.5,28.75,1
24,24,1,0,0,1,0,0,0,,241.32,517.11,25,24.5,25.5,1
24,13,0,0,0,0,0,,0,0.2,344,608,38,19,24,1
23,8,2.5,0.35,0,0.8,0,0,0,0.33,517.11,951.48,46,19.5,24.2,1
23,13.5,0,0,0,0,0,0,0,0.2,310.26,620.52,45,19.5,23,1
22,20,1,0.2,0,0,2.5,0,3,,399.9,813.58,58,20.7,25,1
22,22,1.25,0,0,0,14,0,0,,482.63,958.37,56,22.625,22,1
22,12.5,5,0.3,0,1,0,0,2.25,0.06,44.16,861.84,45,17.1,25.75,1
21,24,0.5,0,0,0.8,0,0,5,0.07,172.37,413.69,20,26.35,27.2,1
21,25,0,0,0.4,0,0,0,4.5,0.04,241.32,551.58,30,26.6,25.5,1
21,25,0,0,2,0,0,0,4.5,0.04,241.32,551.58,30,28.2,25.5,1
20.5,28.8,1.5,0,3.5,1.5,0,0,2.5,0.07,220.63,475.74,48,35.15,25.25,1
20.5,29,1.5,0,3.5,1.5,0,0,2.5,0.07,0.03,0.06,35,35.35,25.25,1
20,30,0,0,3.5,0,0,0,2.5,,296.47,620.53,39,33.5,22.5,1
20,24,1.5,0,0,0.5,0,0,6.3,0.025,275.79,620.53,45,25.5,27.05,1
20,25,1.7,0,1.5,0.4,0,0,4.5,0.02,248.28,586.05,50,27.95,25.1,1
20,29,0,0,3,0,0,0,2,0.07,217.18,475.74,48,34.1,22,1
20,34,0,0,3.5,0,0,0,2.5,0.06,296.475,620.5,39,39.3,22.5,1
19,35,0,0,0,1.25,0,0,0,0.08,379.5,689.46,35,37.4,20.875,1
19,9,0,0,0,0,1.25,0.25,1,0.3,641.25,786.02,20,18,20.5,1
19,10,0,0,0,0,0,0,0.6,0.16,275,530,52,14.8,19.6,1
18,5,9,0.25,0,0,0,0,0,0.15,379.21,723.95,55,14.25,18,1
18,9,0,0,3.5,0,0,0,0,0,206.84,537.79,65,12.5,18,1
18,12,0,0,0,0,0,0,0,0.12,262,586,50,15.6,18,1
18,11,0,0,0,0,0,0,0,0.08,275.8,655,45,13.4,18,1
17,4.5,6.5,0.25,0,0,0,0,0,0.15,379.21,792.9,60,12.5,17,1
17,14,0,0,3,0,0,0.25,2.5,0,289.58,592.95,45,17,20,1
17,12,0,0,0,0,0,0,2.25,0.08,275.79,620.5,50,14.4,19.25,1
17,13,0,0,0,0,0,0,2.25,0.03,220.63,517.1,50,13.9,19.25,1
16,18,0,0,0,0,0,0,0,0.08,241.32,517.11,55,20.4,16,1
29,0,0.3,0.02,0,0.2,0,0,4,0.01,517.11,620.53,25,0.47,33.3,0
29,2,0.3,0.02,0,0.2,0,0,4,0.01,586.05,655,22,2.47,33.3,0
28,4,0,0,0,0,0,0,0,0.5,448.16,482.63,2,19,28,0
28,8,0.75,0,3,0.75,0,0,2,0.2,0.07,0.1,18,17.375,31.125,0
28,9,0,0,0,0,0,0,0,0.35,413.68,655,15,19.5,28,0
27.5,4.75,0,0,0,0,0,0,1.5,0.15,551.5,723.95,25,9.25,29,0
26,6.8,0.8,0,5,0,0,0,0,0.03,427.47,779.11,20,13.1,26,0
26,5.5,0.8,0.17,1.7,0.45,0,0,3,0.04,648.11,854.95,25,8.97,29.675,0
26,0,0.05,0.01,0,0.2,0,0,1,0.002,344.74,482.63,30,0.095,27.3,0
26,5.5,0.8,0.17,1.7,0.45,0,0,3,,648.11,854.95,25,7.77,29.675,0
26,5.5,0,0,3,0,0,0,2.5,,551.58,758.42,20,8.5,28.5,0
26,6.8,0.7,0,0,1,0,0,0,0.03,0.07,0.08,26,8.05,27.5,0
26,2.5,0,0,0,0,0,0,3,0.025,517.11,620.53,32,3.25,29,0
25,0,0,0.25,0,0,0,0,0,0.2,344,482,30,6.25,25,0
22,26,2.5,0,0,1,0,4,5,0.05,303.37,579.16,42,28.75,36.5,0
20,10,1.5,0,0,0,15,0,0,,461.95,1010,59,10.75,20,0
20,6.5,9,0.3,0,1,0,0,0,0.08,448.16,744.63,43,13.7,21.5,0
20,2,0,0,0,0,0,0,0,0.3,413.68,655,15,11,20,0
19,14,0,0,0,0.7,0,0,4.3,0.02,303.69,627.433,42,14.6,24.35,0
19,10,0,0,0,0,0,0,0,0.08,220,530.8,55,12.4,19,0
19,11,0,0,0,0,0,0,2.5,0.03,275,572,50,11.9,21.5,0
19,10,0,0,0,0,0,0,2.5,0.08,289,551,50,12.4,21.5,0
19,11,0,0,0,0,0,0,3.5,0.08,275,572.9,50,13.4,22.5,0
18.5,9.5,0,0,0,0,0,0,0,0.08,672.34,930.8,27,11.9,18.5,0
18.5,10,0,0,0,0,0,0,0,0.03,193,517.1,50,10.9,18.5,0
18,1.6,12,0.3,0,0.5,0,0,0,0.1,413.69,792.9,55,10.9,18.75,0
18,3,13,0.3,0,1,0,0,0,0.08,468.84,744.63,50,12.2,19.5,0
18,0,12,0,0,0,0,0,0,,449.39952,1077.18696,0.335492,6,18,0
18,0,12,0.39,0,0,0,0,0,,1018.86787,1715.26582,0.378591,6.39,18,0
18,0,12,0.25,0,0,0,0,0,,1156.08923,1910.80612,0.531549,6.25,18,0
18,0,12,0.51,0,0,0,0,0,,1248.71358,1869.63974,0.414084,6.51,18,0
18,11,0,0,0,0,0,3,0,0.08,241.17,620.3,50,13.4,24,0
17,8.5,8,0.13,0,4,0,0,0,0.1,413.69,710.16,64,15.63,23,0
17,4,0,0,3,0,0,0,0,0.08,1110.06,1289.32,10,9.4,17,0
17,7,0,0,0,0,0,0,0,0,689.74,1068.7,34,7,17,0
17,7,0,0,0,0,0,0.7,0,0.07,1310,1378.5,11,9.1,18.4,0
17,0,0,,0,0,0,0,0,0.12,310,517,25,3.6,17,0
16.5,4,0,0,4,0,0,0,0,0,758.42,1034.21,12,8,16.5,0
16,10,2,0,0,1,0,0,0,,250,700,40,11,17.5,0
16,1.75,0,0,0,0,0,0,0,0.2,655,861,25,7.75,16,0
15.5,4.5,0,0,0,0,0,0,3,0,393,1103,26,4.5,18.5,0
15.4,4.1,14.8,0.01,0,0.33,0,0,0,,331.23841,587.06099,66.27144,11.51,15.895,0
15.4,4,15.3,0.1,0,0.28,0,0,0,,353.26251,623.97574,78.44358,11.75,15.82,0
15.2,4,15.1,0,0,0.32,0,0,0,,316.451,647.68948,67.81591,11.55,15.68,0
15.1,4,14.8,0.01,0,0.33,0,0,0,,275.04621,647.68948,75.53821,11.41,15.595,0
15,5,0,0,4,0,0,0,0,0,758.42,1034.21,12,9,15,0
15,5,0,0,0,0,0,0,2.5,,379.21,896.32,35,5,17.5,0
15,5,0,0,3,0,0,0,0,0.07,1110.06,1289.32,10,10.1,15,0
15,4.1,15.2,0.2,0,0.26,0,0,0,,409.10473,673.74808,74.35797,11.9,15.39,0
15,7,0,0,0,0,0,0,2.5,0,1551.5,1654.7,6,7,17.5,0
14.9,4,15,0,0,0.29,0,0,0,,295.74857,662.47689,73.15132,11.5,15.335,0
14.9,4,14.9,0.31,0,0.27,0,0,0,,475.84562,705.31107,72.84046,11.76,15.305,0
14,8,0,0,0,0,0,0,2.5,0,1516.28,1620.27,5,8,16.5,0
13,8,0,0,0,0,0,0,2.2,0,1378.95,1551.5,13,8,15.2,0
13,0,0,0,0,0,0,0,0,0.15,344,655,25,4.5,13,0
12.5,0,0,0,0,0,0,0,0,0.08,275,448,25,2.4,12.5,0
12.5,2,0,0,0,0,0,0,0,0.15,724,827,15,6.5,12.5,0
12,4,0,0,0,0,0,0,0.7,0.06,689.48,827.37,24,5.8,12.7,0
12,2,0,0,0,0,3,0,0,0,1034.21,1172.5,13,2,12,0
12,0,0,0,0,0,0,0,0,0.15,310,482.3,25,4.5,12,0
12,4,0,0,0,0,0,0,0.7,,689,827,24,4,12.7,0
11.75,9,0,0,2.25,0,0,1.2,0,0.03,792.9,965.27,12,12.15,14.15,0
11,0,1,0,0,1,0,0.75,0,0.08,262,468,25,2.9,14,0
